fullName,organizations,location,status,typeOfDeath,startDisplay,mtpage,type,motiveConfirmed,charges
Ahmed Addow Anshur,Shabelle Media Network,Somalia,Killed,Murder,"May 24, 2012",https://cpj.org/data/people/ahmed-addow-anshur/,Journalist,Confirmed,
Ahmed Adnan al-Ashlaq,Shaam News Network,Syria,Killed,Crossfire,"May 27, 2012",https://cpj.org/data/people/ahmed-adnan-al-ashlaq/,Journalist,Confirmed,
Ahmed Al Shayyah,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"January 15, 2025",https://cpj.org/data/people/ahmed-al-shayyah/,Journalist,Confirmed,
Ahmed al-Assam,Freelance,Syria,Killed,Crossfire,"May 28, 2012",https://cpj.org/data/people/ahmed-al-assam/,Journalist,Confirmed,
Ahmed Al-Helou,Quds News Network,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"May 15, 2025",https://cpj.org/data/people/ahmed-al-helou/,Journalist,Confirmed,
Ahmed Al-Louh,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"December 15, 2024",https://cpj.org/data/people/ahmed-al-louh/,Journalist,Confirmed,
Ahmed Al-Qara,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"November 10, 2023",https://cpj.org/data/people/ahmed-al-qara/,Journalist,Confirmed,
Ahmed al-Rubai'i,Al-Sabah,Iraq,Killed,Murder,"April 1, 2005",https://cpj.org/data/people/ahmed-al-rubaii/,Journalist,Confirmed,
Ahmed al-Shaibani,"Yaman News, Yemen TV",Yemen,Killed,Crossfire,"February 16, 2016",https://cpj.org/data/people/ahmed-al-shaibani/,Journalist,Confirmed,
Ahmed Assem el-Senousy,Freedom and Justice,Egypt,Killed,Dangerous Assignment,"July 8, 2013",https://cpj.org/data/people/ahmed-assem-el-senousy/,Journalist,Confirmed,
Ahmed Azize,Aleppo News Network,Syria,Killed,Crossfire,"August 10, 2018",https://cpj.org/data/people/ahmed-azize/,Journalist,Confirmed,
Ahmed Bdeir,Bawabat al-Hadaf,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"January 10, 2024",https://cpj.org/data/people/ahmed-bdeir/,Journalist,Confirmed,
Ahmed Farah Ilyas,Universal TV,Somalia,Killed,Murder,"October 23, 2012",https://cpj.org/data/people/ahmed-farah-ilyas/,Journalist,Confirmed,
Ahmed Hadi Naji,Associated Press Television News,Iraq,Killed,Murder,"January 5, 2007",https://cpj.org/data/people/ahmed-hadi-naji/,Journalist,Confirmed,
Ahmed Haidar,Al-Manar Television,Lebanon,Killed,Crossfire,"July 26, 1993",https://cpj.org/data/people/ahmed-haidar/,Journalist,Confirmed,
Ahmed Hasan Ahmed,Xinhua News Agency,Syria,Killed,Dangerous Assignment,"June 20, 2014",https://cpj.org/data/people/ahmed-hasan-ahmed/,Journalist,Confirmed,
Ahmed Hassan Mahad,Radio Jowhar,Somalia,Killed,Crossfire,"May 16, 2007",https://cpj.org/data/people/ahmed-hassan-mahad/,Journalist,Confirmed,
Ahmed Hussein Al-Maliki,Talafar al-Yawm,Iraq,Killed,Murder,"November 7, 2005",https://cpj.org/data/people/ahmed-hussein-al-maliki/,Journalist,Confirmed,
Ahmed Hussein-Suale Divela,Tiger Eye Private Investigations,Ghana,Killed,Murder,"January 16, 2019",https://cpj.org/data/people/ahmed-hussein-suale-divela/,Journalist,Confirmed,
Ahmed Ismail Hassan,Freelance,Bahrain,Killed,Dangerous Assignment,"March 31, 2012",https://cpj.org/data/people/ahmed-ismail-hassan/,Journalist,Confirmed,
Ahmed Issaad,Algerian Television,Algeria,Killed,Murder,"November 30, 1994",https://cpj.org/data/people/ahmed-issaad/,Journalist,Confirmed,
Ahmed Jabbar Hashim,Al-Sabah,Iraq,Killed,Murder,"April 1, 2005",https://cpj.org/data/people/ahmed-jabbar-hashim/,Journalist,Confirmed,
Ahmed Kafi Awale,Radio of the Somali People,Somalia,Killed,Dangerous Assignment,"January 26, 2000",https://cpj.org/data/people/ahmed-kafi-awale/,Journalist,Confirmed,
Ahmed Khaireddine,Quds Al-Youm TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"December 28, 2023",https://cpj.org/data/people/ahmed-khaireddine/,Journalist,Confirmed,
Ahmed Mansour,Palestine Today,Israel and the Occupied Palestinian Territory,Killed,Murder,"April 7, 2025",https://cpj.org/data/people/ahmed-mansour/,Journalist,Confirmed,
Ahmed Mohamed al-Mousa,Raqqa is Being Slaughtered Silently,Syria,Killed,Murder,"December 16, 2015",https://cpj.org/data/people/ahmed-mohamed-al-mousa/,Journalist,Confirmed,
Ahmed Mohamed Shukur,Somali National TV,Somalia,Killed,Crossfire,"September 30, 2022",https://cpj.org/data/people/ahmed-mohamed-shukur/,Journalist,Confirmed,
Ahmed Muhana al-Lami,Freelance,Iraq,Killed,Dangerous Assignment,"December 6, 2019",https://cpj.org/data/people/ahmed-muhana-al-lami/,Journalist,Confirmed,
Ahmed Rajib Haider,Freelance,Bangladesh,Killed,Murder,"February 15, 2013",https://cpj.org/data/people/ahmed-rajib-haider/,Journalist,Confirmed,
